,y_test,prediction
3325,998.7,1890.1568913504605
3504,4122.6336,3789.128081792224
2244,149.805,626.2317593287555
2783,2680.5108,1939.0933511859216
3326,3478.805,3115.2819303602446
5266,2073.967,1673.4978747006544
756,1061.951,1392.818786284607
1244,1540.6612,1971.2383671970701
1089,1006.6896,1629.3301698377813
429,848.895,526.794135419701
6036,3749.7856,2030.1909021595243
4683,6327.7632,3493.4096329205395
5026,703.0848,1211.454977764217
1229,2812.3392,3573.865717374251
7505,1797.66,1421.2509368701608
8198,3401.5722,6408.02178120837
3689,671.1264,1090.0196178281326
8117,1225.072,4124.5257752197085
3885,343.5528,797.1827853274567
4643,1438.128,2516.1270385224298
7706,577.2486,789.8512336319304
1087,1522.0188,3981.94451537899
7147,1868.2348,1495.7286954158963
3093,5681.2714,3836.394198607744
7160,1318.284,1195.862894309772
7450,2407.5328,2336.517419016647
3688,1454.1072,1629.1706114006151
3023,351.5424,170.8133070938759
5442,545.2902,877.8047014558151
747,2041.3428,2541.839564343563
7835,57.2588,30.66470814700824
6741,1171.808,1845.2578005509893
730,886.8456,614.5853203939307
5607,3691.1952,2413.49798930253
4887,1749.7224,2202.30358388441
7207,1274.3412,3404.694806308118
3144,2863.6058,3053.3687364513808
7863,2796.36,1992.4608708866544
1556,3877.6192,2935.1722167978387
7065,2749.754,3108.107420148588
2906,340.2238,629.841873102705
297,1418.154,2535.8607784945607
3509,2460.7968,3194.1948456930286
3040,1987.413,2369.86679228961
4884,5635.3312,3918.445348377969
1224,241.0196,269.4881664037539
6044,308.9312,338.6633716566887
3542,5512.824,3758.5743398560753
1239,4244.475,3979.674792846452
5483,524.6504,2031.1655170662957
447,790.9704,552.5831064524843
191,4745.8224,4329.457646362782
2176,354.2056,754.054913875535
7581,167.7816,290.8178287212645
5468,778.986,1377.1203027122226
789,1783.6782,1475.304458789703
3780,4604.6728,4830.497007778536
8450,1844.9318,1805.7742926859523
2392,1956.1204,2405.978395705765
2517,1326.2736,2634.370259549094
1743,1537.998,1640.8757627750022
3436,3874.2902,5737.2909325005185
2026,3425.541,3980.8710706222155
6297,2227.101,2528.8431455645464
3252,519.324,232.98993920863222
4648,2696.49,3116.1169959560402
6689,1288.323,1053.3564287018717
6402,2766.399,2939.199080756547
7680,419.454,1514.003242193597
3414,1549.3166,3298.6060463005533
6132,5438.9202,3655.0405982255215
2394,55.2614,285.35155692154603
6240,2021.3688,879.1383113233264
7459,6311.784,4340.993707008917
5046,1414.825,1380.243194900138
5493,1221.0772,2702.6554696945595
3666,101.2016,86.12020341644075
5515,2024.032,1745.369481656121
1042,3611.2992,2115.355936590697
3902,1472.7496,1880.5595774064802
3924,1896.1984,3987.259318687423
3174,3528.74,2909.48700873102
6698,999.3658,648.9436649564823
5542,751.0224,784.1721942992581
2505,3846.9924,3423.6550928516317
1980,5331.7264,4036.638093405674
7988,1587.933,1625.7436423591735
6311,1024.6662,1002.97212443923
5606,447.4176,246.09559502242178
1892,1583.9382,2168.5840837221203
8358,121.1756,209.69119531298747
6270,959.4178,1239.411025373769
3274,1025.332,1408.6804590225179
1920,1272.3438,1709.1375883887258
6274,3231.1274,2196.526811384216
4708,455.4072,199.45931097000243
6862,165.7842,254.1436186924418
3789,1128.531,972.3856902059619
7732,5635.3312,4027.9725693496166
8318,316.9208,372.99353435346075
4503,1697.79,1949.9569675520986
5678,2025.3636,2669.572139314121
5863,2387.5588,3265.712736853903
3034,1655.1788,1204.00323923213
2828,905.488,3912.820312835773
5202,388.1614,632.7528839084098
396,3707.1744,3814.3264478337524
1972,1120.5414,1430.1061763973762
8122,2648.5524,1820.7893505436828
1363,6165.9738,6251.455550393851
3379,727.0536,626.4643011880744
3859,308.9312,542.1531715614087
8180,3174.5344,3045.139730339405
2779,2603.278,4288.222885705812
4118,3089.9778,3430.5850804658776
1539,2475.4444,3305.8758078867086
253,1877.556,2144.147293704389
3534,1877.556,3114.822717912174
862,2014.7108,1827.215860698525
7066,898.83,2135.188835520742
3601,2527.3768,2312.088182226583
4517,331.5684,335.16847759685334
2472,188.4214,533.5239758014352
919,451.4124,1314.9786505158302
5131,4837.7028,3722.179226758988
1613,4288.4178,3774.063158403595
2894,1384.1982,3256.8080527063244
2053,2804.3496,1830.8765714913113
4078,1659.1736,3117.70676099998
3275,759.012,450.4292363548002
6058,1715.1008,1519.7030200188558
7878,4287.752,2549.9276559727277
7569,303.6048,372.95862134499293
1706,3271.7412,6319.31105050397
1395,1964.11,3271.5362175395603
5257,2334.9606,1902.4215631700195
7820,649.8208,1202.7794550766707
8213,1917.504,1793.6448030218874
880,1174.4712,1309.3183478079206
3308,4647.284,3677.3863349673875
4414,3435.528,3752.9679808652554
8218,3825.6868,2465.08636903982
5829,2687.8346,3376.5509329026054
6305,1133.8574,1039.9492667093439
7531,1640.5312,1541.366013733769
5433,3372.9428,3307.9228288076547
3511,85.8882,215.99233110000387
7055,4103.9912,2977.6267035826604
107,2530.7058,1912.2351869750037
7879,3962.8416,2171.516443910561
7098,2748.4224,2207.1932465254717
5412,3705.8428,2962.3460344350055
4226,476.047,1546.9334733675146
1047,1451.444,2543.1531726480052
3955,2931.5174,2336.637824172407
3871,1545.9876,704.7218105003474
5491,1565.9616,3551.9457384694
3614,1488.7288,2031.7649772707334
4983,1464.76,3230.719288843835
593,587.2356,656.5071573666019
2383,1685.8056,2454.9037727203013
3013,735.709,1095.9352224066815
254,3779.0808,2891.237245522585
1080,4555.4036,5273.328937687454
6248,1944.136,3911.6819255882097
7124,2036.6822,3060.035979874623
6106,1516.6924,1487.4866111068661
118,2552.6772,2468.803604042484
6901,2988.1104,4072.2473059935055
6194,2527.3768,1440.7854704732572
1362,1581.9408,2087.5112154015414
197,6008.845,3756.3334866180167
305,2775.7202,4090.2065058984754
8220,2621.9204,2156.7656704124015
2396,3073.9986,2611.036383102384
6506,5834.4054,4242.9475620352305
5680,1257.0304,2576.098418031517
7232,1228.401,3668.7796691601307
408,1890.2062,1638.301754137787
7776,2366.919,4221.540366347483
5260,2900.2248,2791.330068795008
5948,47.2718,66.60335881243259
2171,4958.8784,4353.546354934575
6271,3463.4916,2976.2630825825477
8483,1612.5676,1736.9712493113518
1196,3661.9,2849.699486416773
4296,3930.8832,2776.9926877617736
3125,2603.278,2591.625466908242
6764,2213.1192,3207.227647668945
184,4739.8302,5558.687730087188
1825,5191.2426,3937.2211115077707
2358,1379.5376,1566.11490875804
1152,2008.0528,2580.817307542648
900,143.147,327.5424309775949
6605,1125.202,1037.5102689328887
4255,323.5788,630.9964902897532
2450,2836.308,3394.3269276690535
426,4943.565,2996.831056949524
7189,1211.756,502.33222224556357
8346,1596.5884,2492.5258052401864
7194,1571.288,963.1099018444708
2060,1145.176,2024.5427947836722
3071,3691.1952,2931.0724854701925
7003,399.48,247.2155213906492
49,780.3176,396.91791111501243
7439,2816.334,2488.158946708436
1385,2410.8618,1874.7790831006382
3476,2956.152,3153.91009435424
5650,1235.059,3076.058498590933
1580,319.584,702.0275901055372
2281,3900.9222,3035.1507530119015
5369,1999.3974,2593.7048165370597
7943,934.7832,1009.6561371050776
3812,2972.1312,2788.9418448441484
8430,4042.7376,2984.688105785175
7554,83.225,202.84659643492182
3568,540.6296,543.35132102804
2137,2163.85,1498.1486511035896
2191,521.9872,463.6103180081484
3669,1312.9576,1420.5240605263284
5519,2293.0152,2348.1648341950286
6675,371.5164,2140.3996962020383
3043,1569.9564,1326.476643348382
5635,3661.9,3699.986662039806
8245,7549.5062,4516.243567542723
5119,1752.3856,2386.569281087538
5961,2500.7448,2844.072372110688
5665,4693.89,5322.742218087804
3943,3327.6684,2396.4720283610754
5705,435.4332,648.4355518095285
7491,3175.866,2847.6454677315523
649,3281.7282,1674.2601541872602
5652,852.224,565.7726748918249
1270,1853.5872,2755.5656010475523
5357,5327.0658,3377.2162065767025
7510,3056.022,2428.1615246419437
5193,5394.9774,3609.331609901865
413,521.3214,2423.3255216419443
7576,4364.319,3041.292777926641
3705,1235.059,2952.444649819396
7818,499.35,683.6909589140139
1368,4471.5128,3094.6853074170085
4104,2912.2092,1721.9703633627475
7942,3237.1196,4187.949427783634
5041,2659.871,2449.5577271503817
6706,1506.0396,1778.0380948535735
8019,3593.3226,2716.5320152955824
6045,3237.1196,2044.9997831243802
2896,4697.8848,4914.30049060176
2588,1573.9512,1847.0076413070467
7893,2556.672,1700.6885484396817
3330,632.51,1940.5041539621247
1198,1177.1344,2616.218789731168
1433,843.5686,2083.4304310955795
5006,1701.7848,2206.553987365268
5126,1635.8706,2114.7667329311635
5754,1944.136,2618.725536345276
2867,180.4318,427.34327744059647
3493,535.969,1916.6056203675992
6858,1581.9408,2441.997255899695
4486,782.9808,1738.1439559444498
3213,7247.233,5752.846146186665
4128,2428.8384,2322.590570548521
6959,1159.8236,373.02749136847183
8405,124.5046,251.35119209425557
537,2187.153,1552.9769663841857
2748,1686.4714,1628.4949199541088
8423,2600.6148,4461.503860607337
799,2588.6304,2588.132433572727
5137,2516.724,2117.513586228768
4670,97.2068,257.24002079580964
2305,1024.6662,1364.9122525422165
4750,1198.44,708.8115187078997
5157,1800.3232,3637.9766188871226
334,229.701,262.07587674687375
8496,3715.164,3529.0069867994625
5751,490.6946,472.94145982131386
47,5815.0972,4437.927112015624
1300,1158.492,1219.2188474744112
5177,7646.0472,6411.309614617123
5872,2059.9852,1931.7115979561986
2835,1480.7392,1296.2210727865483
826,5182.5872,2583.496073966302
7053,3219.8088,2017.623025044062
3223,2873.5928,3185.637945536041
2512,1378.206,903.3752090615383
8099,5219.872,3771.5941793493907
5968,4996.829,4524.346789400784
2274,703.0848,1459.66129199199
1728,790.9704,1154.5028480644614
4791,1148.505,332.2792713800725
8169,1651.184,2553.7479612311554
7046,3715.164,2071.3606440091025
625,1691.7978,4241.248583692112
399,1037.3164,720.0645550739912
8234,340.8896,673.4658676770955
4302,3338.987,3266.2540714296633
6387,223.7088,526.3663251937412
12,1589.2646,2619.0705920253395
1005,2157.192,1148.401761725997
7188,13086.9648,6173.500664831853
4939,1265.02,2144.6753178526833
2408,189.0872,-65.27277287490438
8487,4111.315,4480.066384301821
8172,2396.88,2683.6921103533205
1890,3695.19,4016.952277013831
7444,499.35,679.6759243268195
8145,3292.381,2260.5670815535973
3831,1560.6352,3233.6693652142676
5171,607.2096,704.9070755369517
6847,3537.3954,2344.5836190788214
731,1039.9796,605.3001908352812
327,1754.383,1598.667832793031
3438,1701.7848,2072.9570680993857
6254,3735.138,2890.2724684890354
4911,3588.662,2200.093912795886
4161,1444.1202,2714.7667392177127
1704,1845.5976,2902.9950354389507
8224,3984.1472,4133.087958987722
4831,858.882,2207.5046885044444
1655,1657.842,1457.267918608416
5984,143.8128,967.2104193811316
460,284.2966,497.1086777486589
4427,918.804,1619.5207884612041
6908,5564.7564,4301.109854160488
6784,610.5386,1626.3386684688062
8451,3254.4304,4077.080152748662
8293,850.8924,715.1084317839081
865,2157.192,2049.1356462447065
250,306.268,361.98879746541934
434,155.1314,626.1629559833846
1546,2050.664,1953.141648862811
3579,758.3462,777.290958343684
3353,628.5152,467.0702790232549
2638,502.0132,600.5338918766474
5293,701.7532,528.3882643790616
739,4476.1734,4498.174938007261
5772,1895.5326,2170.326193669727
2920,759.012,1318.964286450138
3557,2432.8332,1810.2706203585726
569,2097.27,2420.245924195725
6645,4653.2762,2652.3838187178903
4140,534.6374,944.2172556475839
2308,640.4996,799.3321441747769
7352,559.272,1619.7189199849863
1801,2360.9268,2463.377024322894
4765,3167.8764,4064.028927509292
4709,2892.2352,1789.6127331919938
4982,3367.6164,3128.272657981265
480,2940.1728,3013.541191534487
7317,2306.997,2719.0950540435724
3792,3091.9752,4039.9293956357087
3684,163.7868,520.4067884546555
3694,438.0964,860.0405342504496
5088,792.302,621.4797757067586
6472,3202.498,4102.329449096775
4626,3149.234,2481.6310189763117
8115,579.246,762.7044981579529
8101,2189.1504,2546.242466354814
3551,2352.9372,896.3678508738453
7057,1973.4312,2519.282134936097
5361,1750.3882,2786.5320571576585
3410,4207.856,4442.0636244191455
4330,1416.8224,2914.135012055037
7320,3535.398,3089.142945288059
2251,589.233,536.7998007921192
2081,392.822,315.5402460794305
8244,3964.839,4139.200290548916
5136,3745.125,3832.1317166594813
6333,1208.427,2023.9919775124663
2573,259.662,242.75543989982452
3146,457.4046,540.6787578534052
942,1135.189,1602.2389125691543
3617,591.2304,788.4460048780452
6590,3691.1952,2690.892059318021
7572,2681.8424,2468.704158386447
6239,656.4788,330.12111731310324
2443,1278.336,2463.4970547844787
3481,1821.6288,2512.9177369804784
4295,3075.996,2384.147947206533
3134,2719.793,2347.69249293509
2702,347.5476,419.8153450554164
3428,552.614,1113.5795758674249
6548,447.4176,813.0439723841478
7221,255.6672,463.4804196304726
7593,1965.4416,1592.2881215418463
6150,595.2252,434.96039088632006
4148,1201.769,1722.9083995934454
1160,3129.26,2113.6573015358013
7913,4693.89,2560.4199043868675
1768,1398.18,1751.5862007277112
6022,798.96,699.293708720324
7595,6431.628,4698.288516427178
6966,223.7088,246.90282742956833
1422,852.224,1208.7629263990307
2914,2390.222,4063.135742793773
2426,4278.4308,3729.378297464965
2658,3672.5528,2300.2858794103363
4419,1837.608,2594.7709439160653
8323,1842.9344,1579.9000696165367
2611,592.562,983.3002629818661
8477,1970.768,3301.5061574321367
2678,453.4098,455.16752154525966
5804,150.4708,386.1454744576572
2493,4687.232,3702.185975882132
5661,1777.686,2965.034269086426
6237,4181.224,3544.621241955156
6663,199.74,682.0834269595791
7246,1842.9344,1499.7802341642955
4362,1201.769,973.5585813364023
5632,2852.2872,2675.3519806162844
6258,2512.7292,2053.9099257878065
8150,958.752,1159.2520248120695
1123,1570.6222,3654.1948231018623
2485,633.8416,1617.0845928697645
4788,3003.4238,3656.4428986849284
18,2303.668,2778.3437085350333
4371,476.047,579.1847587682628
1034,75.9012,-210.3096532688926
2805,3302.368,2664.574439649634
97,3755.112,3226.9939059632584
4110,2621.9204,1640.6053698910346
6108,5033.448,2835.865181137792
8272,1215.7508,1770.5301917051688
4093,1605.9096,1488.4408300452033
4927,743.0328,845.9565717879411
7234,1174.4712,2229.593003105977
2555,4301.068,3709.80407164952
4711,2782.3782,1914.4202225180686
766,379.506,973.22228987823
1554,4153.9262,3978.676345287188
8409,4090.6752,4016.842931539698
4769,4206.5244,3772.150912451166
1687,649.8208,1020.2062353532567
2117,2388.2246,2286.0679190753795
3431,679.116,701.363245463401
4447,186.424,107.20741297873565
1906,4916.933,3449.230867644713
5796,5339.0502,2822.6266683320273
2457,5099.3622,3668.273562611679
8211,2741.0986,1994.338169112657
231,3435.528,3896.6972060123935
5699,4660.6,3155.83184993952
5859,3179.8608,7139.40022656939
6491,1868.2348,1173.1646136210352
4930,3870.9612,2818.8966290313883
4141,5000.8238,4704.3906152729605
5100,1037.3164,1135.0656842099584
4850,3585.333,3587.1050832640385
3685,2712.4692,3213.198620079228
1922,4434.228,3090.824519848868
1285,4965.5364,6188.572080509558
2663,102.5332,518.1191143172248
5471,1436.7964,1022.6071171199435
145,7370.406,4027.851311245202
3709,8063.5038,6174.28465923758
2757,988.713,1217.0425047256513
2133,1431.47,2433.040206440401
4316,1794.331,2478.9179693212536
7019,2466.789,2391.2410476691875
1500,2628.5784,1960.3435786475136
3922,3078.6592,4880.820360037964
1700,7116.0704,6219.237220892476
2854,2463.46,1753.5533022305913
6504,153.134,333.5929188734119
2054,4290.4152,4000.5875936269977
479,2205.1296,2932.818234376658
7892,3066.6748,3254.816307779616
322,958.752,1103.9312359796343
2159,164.4526,250.50945510873044
3227,985.384,537.5786255054313
6446,3795.06,2561.105630209999
4446,4106.6544,2775.9250643472064
6064,4474.176,4630.427300212152
1708,85.8882,65.04788295674393
1203,2631.2416,1663.3009047461646
4155,5725.88,3765.287436587419
3336,621.1914,434.0656465438283
1443,1491.392,3113.2138857853306
7159,878.856,1700.492733443741
391,3914.904,2731.512074329071
7700,970.7364,1629.8245199692944
3533,1090.5804,1316.6983066006046
6693,1957.452,2446.6589680512893
2752,2712.4692,3147.98519517482
8494,1637.868,1995.634551395967
7842,386.8298,1037.904146648179
311,527.3136,976.1733603653983
4223,2316.984,1927.5337468164903
568,3848.324,3070.939680488382
3641,2544.6876,3200.827024815434
7699,1188.453,1044.2667880241806
6495,1516.0266,1164.9333705715276
7624,1772.3596,2699.027915407148
7676,3185.853,1775.997993091197
6364,4470.1812,4093.4049334646934
5077,492.692,434.71375572457146
2557,3998.7948,5253.762680929004
1714,1491.392,3407.7606204314197
7687,2069.3064,1580.4518229388736
1902,4819.7262,6626.131341793637
4233,2101.2648,4742.29963362945
8173,1686.4714,1494.7671478260222
6002,182.4292,462.826834955295
1286,438.0964,907.6872673141115
4365,1291.652,1934.9328196250458
5847,543.2928,462.7432838079733
1640,3306.3628,1741.6273198784716
4335,3962.8416,2938.2563619579114
