,y_test,prediction
3325,998.7,1729.5221323841056
3504,4122.6336,3660.8822569308827
2244,149.805,818.1855643271842
2783,2680.5108,1978.7612346691099
3326,3478.805,2905.752483687132
5266,2073.967,2389.579124565394
756,1061.951,1565.762178198785
1244,1540.6612,1933.2923998283286
1089,1006.6896,1525.9761887922336
429,848.895,890.7368200895125
6036,3749.7856,1983.571749391001
4683,6327.7632,3936.3176504792896
5026,703.0848,1071.3435121015536
1229,2812.3392,3703.3887092060017
7505,1797.66,1476.3896478929942
8198,3401.5722,5682.200542233373
3689,671.1264,2163.3841427316775
8117,1225.072,4001.3440322903894
3885,343.5528,984.499009432298
4643,1438.128,2364.1941866254106
7706,577.2486,697.0489785897917
1087,1522.0188,4090.35722748376
7147,1868.2348,1492.0767539394042
3093,5681.2714,3930.5524426913885
7160,1318.284,1417.1014712430238
7450,2407.5328,2436.011727990204
3688,1454.1072,1752.2544624207862
3023,351.5424,-487.8829419750084
5442,545.2902,819.5504755606312
747,2041.3428,2375.5916988729036
7835,57.2588,-917.5664569211918
6741,1171.808,1858.948130012785
730,886.8456,864.925829553169
5607,3691.1952,2504.4278059666335
4887,1749.7224,2032.8792141601853
7207,1274.3412,3513.9808963688115
3144,2863.6058,2838.4514733548217
7863,2796.36,1944.0315990572967
1556,3877.6192,3366.6347479589535
7065,2749.754,3227.1813060729687
2906,340.2238,836.8526803071923
297,1418.154,2273.36540726593
3509,2460.7968,3404.0657684042085
3040,1987.413,2218.638296061876
4884,5635.3312,3901.5954491314965
1224,241.0196,42.670869686448896
6044,308.9312,550.9741980967856
3542,5512.824,3818.3737565933893
1239,4244.475,4036.777622992791
5483,524.6504,1927.5130494251584
447,790.9704,754.0764678188143
191,4745.8224,4271.579700129922
2176,354.2056,899.2646869080622
7581,167.7816,-610.8576805246687
5468,778.986,1350.0590806814257
789,1783.6782,1567.0606595274535
3780,4604.6728,4345.849346931835
8450,1844.9318,1795.0335897888049
2392,1956.1204,2417.3336750134945
2517,1326.2736,2692.346676669286
1743,1537.998,1821.7292393521525
3436,3874.2902,4243.072810930797
2026,3425.541,3771.2653706239894
6297,2227.101,2345.946014242774
3252,519.324,-545.630963060351
4648,2696.49,2935.0065221818527
6689,1288.323,1077.3113237295188
6402,2766.399,3064.7336051862053
7680,419.454,1373.8782252699566
3414,1549.3166,3359.369827908938
6132,5438.9202,3839.6076640600927
2394,55.2614,-1018.8414789211188
6240,2021.3688,1029.574476011363
7459,6311.784,4203.571349510103
5046,1414.825,1366.323060840587
5493,1221.0772,2849.738043159959
3666,101.2016,-1092.6007825332076
5515,2024.032,1727.5876430978647
1042,3611.2992,2132.56386462975
3902,1472.7496,1781.7529844861556
3924,1896.1984,3900.534095870798
3174,3528.74,2894.247020790533
6698,999.3658,968.0310694626373
5542,751.0224,2102.060095495691
2505,3846.9924,3413.8706997824224
1980,5331.7264,4008.5344659707966
7988,1587.933,1797.6698580920488
6311,1024.6662,2057.6489299311966
5606,447.4176,457.0305243135276
1892,1583.9382,2107.074739621275
8358,121.1756,70.31580111192511
6270,959.4178,1136.5463728678073
3274,1025.332,1343.6259002094766
1920,1272.3438,1674.3949404365453
6274,3231.1274,2348.8477739383557
4708,455.4072,430.8465049549395
6862,165.7842,-1024.254211107088
3789,1128.531,1263.2320047254366
7732,5635.3312,3916.808184010971
8318,316.9208,628.4819543883259
4503,1697.79,1881.1551795658766
5678,2025.3636,2546.5662238047184
5863,2387.5588,3148.914013757341
3034,1655.1788,1295.0079606884783
2828,905.488,3777.4057585807245
5202,388.1614,679.6532963409372
396,3707.1744,3719.532358402959
1972,1120.5414,1069.197267434473
8122,2648.5524,1680.4761778045472
1363,6165.9738,5157.625740101948
3379,727.0536,1020.5869762871603
3859,308.9312,625.9984951913925
8180,3174.5344,3219.482763986442
2779,2603.278,4141.792880318746
4118,3089.9778,3446.7520234543904
1539,2475.4444,3319.5278284959354
253,1877.556,2047.3086312822256
3534,1877.556,3154.674081546887
862,2014.7108,2029.621269067498
7066,898.83,2064.155754699837
3601,2527.3768,1669.2760211739028
4517,331.5684,716.8912163004397
2472,188.4214,1208.0033471385927
919,451.4124,1233.9563541193374
5131,4837.7028,3700.526538323023
1613,4288.4178,3536.3187909705516
2894,1384.1982,3296.437079987368
2053,2804.3496,2454.4090800009103
4078,1659.1736,3363.5624843976734
