,y_test,prediction
3325,998.7,1565.3061869930634
3504,4122.6336,3881.5826785391732
2244,149.805,780.3684578801096
2783,2680.5108,2065.2925132009964
3326,3478.805,3182.270110700782
5266,2073.967,1053.9489898799002
756,1061.951,1511.3249590192104
1244,1540.6612,1963.8065386885055
1089,1006.6896,1529.8545944960372
429,848.895,789.9207077357778
6036,3749.7856,1888.047418701867
4683,6327.7632,3251.75062439978
5026,703.0848,1059.902175691306
1229,2812.3392,3787.1964756431844
7505,1797.66,1394.2836053582378
8198,3401.5722,5795.546273921758
3689,671.1264,613.3435008783384
8117,1225.072,4024.1289714163972
3885,343.5528,996.0606616847961
4643,1438.128,2262.904923108184
7706,577.2486,589.8882833293752
1087,1522.0188,4194.728879816761
7147,1868.2348,1233.531003460925
3093,5681.2714,3942.9057404834452
7160,1318.284,1407.8230211689734
7450,2407.5328,2504.268276932394
3688,1454.1072,1715.649554711848
3023,351.5424,298.41046427969746
5442,545.2902,655.9255988741355
747,2041.3428,2594.4539598627507
7835,57.2588,836.0043073192323
6741,1171.808,1697.4681458407292
730,886.8456,761.3241643041143
5607,3691.1952,2443.6006054897216
4887,1749.7224,2288.043417668081
7207,1274.3412,3658.7554998396977
3144,2863.6058,2886.682314619954
7863,2796.36,1923.2396474084169
1556,3877.6192,2919.7951891915764
7065,2749.754,3171.973898397155
2906,340.2238,771.8964024062448
297,1418.154,2142.6875069185135
3509,2460.7968,3250.371468913966
3040,1987.413,2144.741271756546
4884,5635.3312,3927.127061813332
1224,241.0196,254.86102680136312
6044,308.9312,375.5768902709143
3542,5512.824,3985.8326549115127
1239,4244.475,4134.005912239843
5483,524.6504,1559.7338695945477
447,790.9704,776.3043132661768
191,4745.8224,4240.798392238908
2176,354.2056,792.0278901815796
7581,167.7816,536.9248034748982
5468,778.986,1228.096081944184
789,1783.6782,1484.4299719627015
3780,4604.6728,4786.662972471156
8450,1844.9318,1698.5254588139007
2392,1956.1204,2484.449246749988
2517,1326.2736,2871.7647929035925
1743,1537.998,1695.2469497360921
3436,3874.2902,4295.630465415763
2026,3425.541,3910.8052818916835
6297,2227.101,2568.5151874135104
3252,519.324,390.69396873680046
4648,2696.49,3167.439243484736
6689,1288.323,1421.2657172212698
6402,2766.399,3198.5630298374667
7680,419.454,1330.4556912323176
3414,1549.3166,2919.7951891915764
6132,5438.9202,3251.75062439978
2394,55.2614,825.9354365202563
6240,2021.3688,881.5543601508808
7459,6311.784,4195.385831261424
5046,1414.825,1283.1701214775612
5493,1221.0772,2976.731585863674
