,y_test,prediction
3325,998.7,1892.4351651334262
3504,4122.6336,3788.0221843799814
2244,149.805,627.3850359106309
2783,2680.5108,1939.4914244716592
3326,3478.805,3114.462190854554
5266,2073.967,1675.5016194858026
756,1061.951,1392.6289167040254
1244,1540.6612,1971.6380695433854
1089,1006.6896,1629.6996228134262
429,848.895,527.5626459243167
6036,3749.7856,2031.9955593831824
4683,6327.7632,3490.565482876307
5026,703.0848,1213.6122937396033
1229,2812.3392,3570.3460423744827
7505,1797.66,1422.238519044773
8198,3401.5722,6402.948133065939
3689,671.1264,1091.9330199418334
8117,1225.072,4123.307852217607
3885,343.5528,797.4985346092603
4643,1438.128,2519.10711686074
7706,577.2486,791.9343249229273
1087,1522.0188,3979.208080428206
7147,1868.2348,1497.0294205773698
3093,5681.2714,3828.340358018714
7160,1318.284,1195.841807465546
7450,2407.5328,2334.8057312664587
3688,1454.1072,1631.938559582611
3023,351.5424,170.2885997136466
5442,545.2902,882.9050179795167
747,2041.3428,2542.814059572071
7835,57.2588,32.162729234207745
6741,1171.808,1845.8033379979681
730,886.8456,615.4552466992413
5607,3691.1952,2412.109624503608
4887,1749.7224,2201.6700749348092
7207,1274.3412,3400.315561241983
3144,2863.6058,3051.5964677252223
7863,2796.36,1991.588866417852
1556,3877.6192,2932.7315027900922
7065,2749.754,3107.2870344757503
2906,340.2238,629.1960569297569
297,1418.154,2534.4623906541137
3509,2460.7968,3192.7633839914224
3040,1987.413,2371.1528610266955
4884,5635.3312,3917.7355458913444
1224,241.0196,271.0402370183742
6044,308.9312,340.6664497846914
3542,5512.824,3758.4268933079884
1239,4244.475,3978.7623009203962
5483,524.6504,2033.10373670999
447,790.9704,553.8058645904441
191,4745.8224,4328.341185262094
2176,354.2056,754.5655542986228
7581,167.7816,291.24076838457995
5468,778.986,1377.4635418593748
789,1783.6782,1475.0628809276282
3780,4604.6728,4829.498514644162
8450,1844.9318,1806.4328857438907
2392,1956.1204,2405.7004908757062
2517,1326.2736,2634.2216245265354
1743,1537.998,1641.356235508344
3436,3874.2902,5736.206395416234
2026,3425.541,3978.3725455324548
6297,2227.101,2528.818434670296
3252,519.324,231.76864473031924
4648,2696.49,3115.8362613008308
6689,1288.323,1053.5908577878192
6402,2766.399,2935.8891588164383
7680,419.454,1514.098216526821
3414,1549.3166,3299.6306178814284
6132,5438.9202,3653.1349599573496
2394,55.2614,287.64607353941574
6240,2021.3688,880.3145073055232
7459,6311.784,4339.412218465296
5046,1414.825,1381.6165403949003
5493,1221.0772,2700.152161577512
3666,101.2016,85.70756631161294
5515,2024.032,1747.0550683748777
1042,3611.2992,2115.056973251423
3902,1472.7496,1881.3728117440219
3924,1896.1984,3985.2155474922656
3174,3528.74,2907.994459652367
6698,999.3658,648.9007463333692
5542,751.0224,789.7920407661181
2505,3846.9924,3422.192956916373
1980,5331.7264,4036.571048672851
7988,1587.933,1624.9240238793475
6311,1024.6662,1005.4473476921828
5606,447.4176,242.80199370716127
1892,1583.9382,2168.377136498011
8358,121.1756,209.36318282165576
6270,959.4178,1239.5631764315929
3274,1025.332,1409.0740175865762
1920,1272.3438,1709.6105650021946
6274,3231.1274,2195.602034894808
4708,455.4072,200.8494138930139
6862,165.7842,253.4773703279725
3789,1128.531,968.8095939206064
7732,5635.3312,4027.7511988671204
8318,316.9208,375.6694869422322
4503,1697.79,1951.0517987922894
5678,2025.3636,2669.9359807570327
5863,2387.5588,3264.9999283714787
3034,1655.1788,1204.299678835859
2828,905.488,3911.8117738049136
5202,388.1614,634.6193409093303
396,3707.1744,3813.5554054771205
1972,1120.5414,1435.6713233910841
8122,2648.5524,1821.8331238802518
1363,6165.9738,6248.9214966091295
3379,727.0536,626.8812376161823
3859,308.9312,543.931862673372
8180,3174.5344,3043.195272375503
2779,2603.278,4284.928425132284
4118,3089.9778,3429.119314218433
1539,2475.4444,3305.322433247018
253,1877.556,2142.5905227267635
3534,1877.556,3115.1625690979254
862,2014.7108,1826.48563192208
7066,898.83,2135.101354109713
3601,2527.3768,2311.0129021089097
4517,331.5684,336.04901865103193
2472,188.4214,537.610115490543
919,451.4124,1313.7749692803382
5131,4837.7028,3720.6708813484765
1613,4288.4178,3773.2818854135094
2894,1384.1982,3255.9260884702057
2053,2804.3496,1833.2464264119128
4078,1659.1736,3119.2153059370958
